Question,Answer
In welcher Position können Fortbildungen angesetzt bzw. abgerechnet werden?,Assoziierte Partnern nehmen Aufgaben im Projekt wahr. Diese sind allerdings gegenüber den Fördermittelgeber:innen nicht rechenschaftspflichtig. Der Konsortialvertrag stellt daher eine gute Option dar …
In welcher Position können Fortbildungen angesetzt bzw. abgerechnet werden?,"Fortbildungen sollten unbedingt mit dem Projektträger abgestimmt werden und sind nur förderfähig, wenn ihre Notwendigkeit ausschließlich im bewilligten Projekt begründet ist. Auf Kostenbasis erfolgt …"
Ist bei anteiliger Rückzahlung der bewilligten Fördersumme auch die Anteilige Projektpauschale zurückzuzahlen?,"Gilt nur für die Förderung von Hochschulen: Die Projektpauschale (PP) wird in Höhe von 20 % zu den abgerechneten Ausgaben dazugerechnet. Reduzieren sich die Ausgaben im Projekt nach Prüfung, reduziert …"
Ist der Mietwagen zuwendungsfähig?,Die Kosten oder Ausgaben für die Nutzung von Mietwagen können zuwendungsfähig sein. Die Notwendigkeit ist im Antrag ausführlich zu begründen und die Nutzung muss ausschließlich für Vorhabenzwecke …
Ist der Projektträger beim Personalwechsel zu informieren?,"Grundsätzlich besteht die Möglichkeit, andere Mitarbeitende in das Projekt mit einzubeziehen. Dies kann in der Regel ohne Zustimmung des Zuwendungsgebers geschehen. Voraussetzungen hierfür sind, dass …"
Ist die Frist für Zwischennachweise bindend?,"Wenn nicht anders im Zuwendungsbescheid geregelt, beträgt die Frist für die Abgabe des Zwischennachweises vier Monaten nach Ablauf des Haushaltsjahres, d. h. bis zum 30.04. des Folgejahres (siehe NABF …"
Ist die Projektpauschale in den zentralen Haushalt zu überführen?,"Die Projektpauschale unterstützt die Finanzierung der durch das Forschungsvorhaben verursachten indirekten Projektausgaben (z. B. für Raumnutzung, Energieverbrauch, IT-Infrastruktur …"
Ist die Umwidmung in eine nicht bewilligte Position möglich?,"Die Umwidmung ist in eine nicht bewilligte Position grundsätzlich möglich. Hierfür muss ein entsprechender Umwidmungsantrag gestellt und begründet werden, der durch den Projektträger geprüft und mit …"
Ist eine nachträgliche Korrektur des Zwischennachweises im nächsten Jahr möglich?,"Ein Zwischennachweis kann im Nachhinein zeitnah korrigiert werden. Insbesondere bei Überzahlungen ist darauf zu achten, dass für den Betrag der Überzahlung ggf. Zinsen zu zahlen sind. Zum Ende des …"
Ist Öffentlichkeitsarbeit förderfähig?,Öffentlichkeitsarbeit ist per se nicht förderfähig. Manche Bekanntmachungen haben jedoch öffentlichkeitswirksame Aspekte im Fokus - hier ist bei der Antragstellung der Rahmen und Umfang der …
Kann die Inflationsausgleichsprämie abgerechnet werden?,"Sobald eine tarifvertragliche Regelung zur Auszahlung der Inflationsausgleichsprämie (IAP) den Arbeitgeber rechtlich bindet, ist –vorbehaltlich der konkreten Ausgestaltung dieser Regelung – …"
Kann die letzte Zahlungsanforderung im Kalenderjahr (Abrechnung per 3. Quartal) korrigiert werden?,Die Zahlungsanforderung des 3.Quartals ist die letzte mögliche Abrechnung von Kosten im lfd. Kalenderjahr und kann selber nicht korrigiert werden. Ihr folgt die Abrechnung des gesamten Kalenderjahres …
Kann die pdf-Endfassung eines Antrages auf Zuwendung nachträglich bearbeitet werden?,"Kleine Änderungen, die nicht die beantragte Zuwendung erhöhen, können in Abstimmung mit dem Projektträger handschriftlich in der ausgedruckten Endfassung vermerkt werden. Sollten Änderungen auf …"
Kann die Position 0817 überschritten werden?,"Bei der Position 0817 handelt es sich um eine Personalausgaben-Position. Positionsüberschreitungen sind grundsätzlich möglich. Wird eine Position um bis zu 20 % überzogen, ist kein Antrag auf …"
Kann die Zuwendung seitens des Zuwendungsgebers zurückgenommen werden?,"Es gibt begründete Ausnahmefälle in denen Zuwendungen widerrufen werden, beispielsweise durch die nicht zweckentsprechende Verwendung der Zuwendung. In jedem Fall erfolgt im ersten Schritt eine …"
Kann ein Projekt gekündigt werden?,"Die angefallenen Lohnkosten sind grundsätzlich tatsächlich zu berücksichtigen. Die Bewilligungssumme ändert sich jedoch nicht automatisch, ggf. anfallende Mehrkosten sind durch den Zuwendungsempfänger …"
Kann ich den Antrag auch ohne qualifizierte elektronische Signatur nur digital einreichen?,Das Easy-Online Formular kann auch ohne digitale Signatur ausschließlich digital eingereicht werden. Wählen Sie dazu das TAN Verfahren aus den drei möglichen Einreichungsarten im easy-Online Portal.
Kann ich Teilnahmegebühren abrechnen?,"Wenn Teilnahmegebühren für Kongresse/Messen oder dergleichen bereits im Antrag angegeben und bewilligt wurden, können sie auch entsprechend abgerechnet werden. Sollte die Abstimmung im Antrag noch …"
Kann man einen Antrag auf Mittelweiterleitung an Dritte stellen?,Ein Antrag auf Mittelweiterleitung an Dritte kann grundsätzlich nur zum Zeitpunkt der Antragstellung des Förderprojektes gestellt werden. Dafür werden im Zuwendungsbescheid spezielle Prüfkriterien …
Kann man gesperrte Mittel mit entsprechender Begründung umwidmen lassen?,"Laut Zuwendungsbescheid sind Mittel, die gesperrt worden sind, von einer Umwidmung in andere Positionen ausgeschlossen. Sie sind für die vorgesehene Aktivität zu verwenden. Für eine Entsperrung sind …"
Kann man in einem Förderprojekt auch nur einen Teil seiner Arbeitszeit angeben/anrechnen lassen?,"Für Hochschulen gilt, dass das Projekt im Arbeitsvertrag oder einem Zusatz dazu namentlich erwähnt wird und auch der Umfang der Arbeit im Projekt in Prozent angegeben werden muss, wenn der Einsatz …"
Kann man in Rahmen eines Projekttreffens im Ausland die Kosten erstattet bekommen?,"Dienen Projekttreffen im Ausland dem Erreichen des Vorhabenziels und kann dies begründet werden, weshalb diese im Ausland stattfinden müssen, sind diese förderfähig. (Zuwendungsfähig sind Kosten oder …"
Können auch administrativ im Projekt tätige Mitarbeitende im Projekt abgerechnet werden?,Für das Projekt administrativ tätiges Personal bzw. administrative Tätigkeiten sind grundsätzlich nicht zuwendungsfähig. Diese Tätigkeiten und das entsprechende Personal ist in der Regel bereits …
Können Aufträge (Pos. 0835) sowohl auf Rechnungsbasis als auch im Rahmen eines Honorarvertrages vergeben werden?,"Honorare für Projektleiter und sonstige ständige Bedienstete, sowie hauptberufliche Mitarbeitende des Antragstellers sind nicht zuwendungsfähig. Bei Verträgen mit Honorarvergütung an Externe im Rahmen …"
Können Aufträge (Pos. 0835) sowohl auf Rechnungsbasis als auch im Rahmen eines Honorarvertrages vergeben werden?,"Wenn es sich nicht um Lizenzen handelt, sondern die Software angeschafft werden soll, ist entscheidend, ob der Betrag für die Anschaffung unter 800 € liegt. Dann ist sie in der Position 0831 zu planen …"
Können ausländische Partner/Firmen/Universitäten eingebunden werden?,"Grundsätzlich ist antragsberechtigt, wer zum Zeitpunkt der Auszahlung einer gewährten Zuwendung eine Betriebsstätte oder Niederlassung in Deutschland hat. Details zur Antragsberechtigung sind der …"
Können Belege digital archiviert werden?,"Wenn Sie in Ihrem Haus ausschließlich digital arbeiten und die Originalbelege im Nachhinein vernichten, dann können Belege digital archiviert werden. Wenn dies nicht der Fall ist, dann sind sie noch …"
Können falsch abgerechnete Kosten mit der folgenden Abrechnung korrigiert werden?,In jeder Zahlungsanforderung (ZA) des Kalenderjahres sind immer die kumulativ angefallenen Kosten vom 01.01. bis zum Abrechnungszeitraum einzutragen. Durch die Kumulierung der Kosten werden …
Können in einem Projekt Mitarbeitende auch in anderen Projekten mitarbeiten und abgerechnet werden?,Eine in einem Projekt mitarbeitende Person an einer Hochschule kann auch in einem anderen Förderprojekt mitarbeiten. Das muss eindeutig und nachvollziehbar im Arbeitsvertrag ersichtlich sein. Die …
Können mehrere Personen Rechte für die Nutzerverwaltung in profi-online erhalten?,Es können mehrere Personen eines Zuwendungsempfängers das Recht zur Benutzerverwaltung inne haben. Mindestens eine Person muss als Benutzerverwalter:in eingerichtet sein.
Können Mittelumwidmungen auch selbst durch den Zuwendungsempfänger in profi-Online durchgeführt werden?,Sie können über profi-Online über die Haushaltsdaten lediglich einen Antrag auf Mittelumwidmung beim Projektträger uns einreichen. Nach schriftlichem Eingang des unterzeichnetem …
Können Personalkosten untereinander umgewidmet werden?,"Von Personalkosten spricht man, wenn es sich um eine Zuwendung auf Kostenbasis (AZK) handelt. Die Personalkosten werden in der Kostenposition 0837 (Personalkosten) abgerechnet. Dies bedeutet, dass …"
Können Rechnungen unter 800 € zu einem bereits bestehenden inventarisierten Gerät gebucht werden?,"Wenn die neue Komponente (unter 800€) mit dem inventarisierten Gegenstand fest verbunden wird und somit ein Teil des inventarisierten Gegenstandes wird, kann die Rechnung in der Position 0850 mit …"
Mit welchem Stundensatz kann abgerechnet werden?,Es sind stets die Ist-Kosten anzusetzen. Im Antrag geplante Stundensätze dienen nur der Vorkalkulation und können dementsprechend bei der Abrechnung in einem gewissen Rahmen abweichen.
Muss bei der Beantragung zwingend eine Teilvorhabensbeschreibung mitgesendet werden?,"Ausnahmen sind möglich. Bei Einzelvorhaben und sehr kleinen Verbünden kann auf eine gesonderte TVB verzichtet werden, wenn eine sehr ausführliche und vollständige Gesamtvorhabensbeschreibung …"
Muss der Projektkoordinator die Reisekosten der assoziierten Partner finanzieren oder jemand Anderes?,Für assoziierte Partner:innen werden keine Reisekosten/-ausgaben übernommen. Diese haben die assoziierten Partner:innen selber zu tragen.
Muss die Belegliste mit dem Verwendungsnachweis mitgeliefert werden?,Die Belegliste ist als Anlage zum zahlenmäßigen Verwendungsnachweis mit dem Verwendungsnachweis einzureichen. Hier finden Sie den Vordruck für die Belegliste .
Muss die Mitarbeit am Projekt arbeitsvertraglich geregelt sein?,Bei einer Ausgabenförderung muss die Mitarbeit im Projekt direkt im Arbeitsvertrag ausgewiesen werden oder wurde durch einen entsprechenden Zusatz zum Arbeitsvertrag ergänzt. Auch eine ggf. anteilige …
Muss die Projektskizze zwingend unterschrieben sein?,Die Projektskizze ist kein formaler Förderantrag und nicht mit einer rechtsverbindlichen Unterschrift zu versehen. Die Skizzen sind in digitaler Form über das Online-Skizzentool easy-Online für die …
Muss eine Begründung für die Mittelverschiebung angegeben werden?,"Eine kurze Begründung zu einer notwendigen Mittelverschiebung kann innerhalb des Bemerkungsfelds des Zahlungsanforderungsformulars eingefügt werden, ist jedoch nicht zwingend erforderlich."
Muss für jede Ausgabe/Kosten eine Rechnung und ein Zahlungsbeleg vorhanden sein?,"Alle Ausgaben sind in den Beleglisten zu erfassen. Zu allen Ausgaben muss eine Rechnung existieren und ein Zahlungsbeleg verfügbar sein. Ausgaben für eine Reise (Flug, Übernachtung, Tagegeld) können …"
Muss jeder Verbundpartner alle drei Teile des Sachberichts  erstellen?,Jeder Verbundpartner hat einen voll- und eigenständigen Sachbericht mit allen Anlagen zu erstellen.
Müssen die Antragsteller:innen in Deutschland ansässig sein?,Der Kreis der Antragsberechtigten wird in den jeweiligen Förderrichtlinien festgelegt. Je nach Vorhaben und Förderrichtlinie können die Bedingungen unterschiedlich ausfallen. Zum Teil wird für die …
Müssen die Teilnehmenden eines Verbundprojekts eine Kooperationsvereinbarung vorlegen?,"Einzelheiten der Zusammenarbeit regeln die Partner:innen durch eine schriftliche Kooperationsvereinbarung, für die kein Vertragsmuster vorgegeben ist. Aus dieser muss ersichtlich sein, dass kein …"
Müssen nur die Produktiv-Arbeitsstunden pro Kalendertag oder auch die Uhrzeiten erfasst werden?,Die Angabe von Uhrzeiten ist nicht notwendig. Bitte erfassen Sie nur die Anzahl der im Projekt geleisteten Stunden.
Nach welcher Abrechnungsart muss ich meinen Antrag machen: nach LSP oder pauschalierte Abrechnung?,Derzeit ist die Beantragung der pauschalierten Abrechnung nur mit Einschränkungen möglich. Die bisher gemäß NKBF2017 gewährte Pauschale ist bei Neubewilligung aufgrund einer AGVO-Änderung nicht mehr …
Sind Abweichungen der Entgeltgruppen erlaubt?,Abweichungen der Entgeltgruppen sind nicht erlaubt. Es sind die gültigen tariflich abgestimmten Sätze anzuwenden.
Sind Ausgaben/Kosten für die Antragstellung förderfähig?,"Ausgaben/Kosten, die durch den Prozess der Antragstellung verursacht werden, liegen zeitlich vor dem Laufzeitbeginn des Vorhabens und sind daher nicht zuwendungsfähig."
Sind Brutto- oder Nettokosten zu beantragen und abzurechnen?,"Beträge sind inkl. der MwSt. anzusetzen und auch abzurechnen, wenn der Zuwendungsempfänger/ die Zuwendungsempfängerin nicht zum Vorsteuerabzug berechtigt ist. Wenn eine Vorsteuerabzugsberechtigung …"
Sind Kosten für die Einrichtung und Nutzung der qualifizierten Signatur förderfähig?,Die Kosten für Einrichtung und Nutzung von qualifizierter Signatur sind nicht förderfähig.
Sind mit dem Verwendungsnachweis auch Arbeitsverträge der im Projekt Mitarbeitenden einzureichen?,Für den Nachweis der arbeitsvertraglich geregelten Mitarbeit im Projekt kann bei einer vertieften Prüfung des Verwendungsnachweises auch die Vorlage von Arbeitsverträgen notwendig sein. Sie werden in …
Sind Mittel für Websites/Social Media förderfähig?,"Die Bewilligung von Ausgaben/Kosten für Websites (z. B. mit Blog) zur Information der Öffentlichkeit und zur Kommunikation ist prinzipiell möglich (Wissenschaftskommunikation), solange dies nicht der …"
Sind Publikationskosten förderfähig?,"Kosten für Publikationen, die für die Zielerreichung des Projekts notwendig sind, sind förderfähig."
Sind Sachbezüge in Form von Mitarbeitergutscheinen förderfähig?,Sachbezüge sind grundsätzlich nicht Bestandteil einer Tarifvereinbarung. Daher sind solche Leisungen an die Mitarbeiter nicht zuwendungsfähig.
Soll das Ersatzpersonal für nicht förderfähiges haushaltsfinanziertes Personal in der Belegliste namentlich aufgeführt werden?,"In der Belegliste soll kenntlich gemacht werden, wenn es sich bei dem abgerechneten Personal um Ersatzpersonal für nicht förderfähiges haushaltsfinanziertes Personal handelt. Der Ansatz darf die …"
Soll man die Anzahl der Beschäftigte als Vollzeitäquivalente angeben?,Bei der Prüfung zum KMU Status wird die Anzahl der Beschäftigten in Bezug auf Vollzeitäquivalente betrachtet. Zwei Personen mit 50% Stellen sind als ein Beschäftigter anzugeben.
Soll man die Anzahl der Beschäftigte als Vollzeitäquvalente angeben?,Allen gemeinnützigen Vereinen und Organisationen ist es gestattet Fördergelder zu beantragen.
Sollen die Brutto- oder Nettobeträge in die Beleglisten eingetragen werden?,Je nach Vorlage einer Vorsteuerabzugsberechtigung sind die Nettowerte (berechtigt zum Vorsteuerabzug) oder Bruttowerte (nicht berechtigt zum Vorsteuerabzug) einzutragen. Ebenfalls sind Skonti und …
Sollte die Projektleitung einen profi-Online Zugang erhalten?,"Ob die Projektleitenden einen Zugang zu profi-Online erhalten sollen, ist eine interne Angelegenheit des Zuwendungsempfängers. Sofern die Projektleitenden selbst Zahlungsanforderungen …"
Unter welchen Umständen kann ich mit Partnern aus dem europäischen Ausland zusammen arbeiten?,"Es muss nachgewiesen werden, dass die ausländischen Kooperationspartner:innen einen unersetzlichen Mehrwert für das Projekt bieten, welcher von keinem Partner im europäischen Ausland zu leisten ist."
Verfallen nicht ausgegebene bewilligte Mitteln für das Haushaltsjahr?,Die kassenmäßige Inanspruchnahme der Zuwendungsmittel ist zunächst entsprechend den im Bescheid genannten Jahresscheiben vorgesehen. Sollte der tatsächliche Mittelbedarf von dieser vorläufigen Planung …
Wann beginnt ein Vorhaben?,Der mögliche Start (Laufzeitbeginn) eines Fördervorhabens ist ggf. mit den Verbundpartnern und mit dem Projektträger abzustimmen. Alle Bestellvorgänge und Arbeiten im Rahmen des Projektes dürfen erst …
Wann erfolgt die Auszahlung der Jahressonderzahlung?,"Personalausgaben, die durch öffentliche Haushalte gedeckt sind, dürfen nicht über das Projekt beantragt/abgerechnet werden."
Wann kann die erste Zahlungsanforderung im neuen Kalenderjahr gestellt werden?,"Für Förderprojekte, die auf Ausgabenbasis gefördert werden und Schätzausgaben für die nächsten 6 Wochen abrechnen dürfen, kann bereits im Januar die erste Zahlungsanforderung (ZA) eingereicht werden …"
Wann können erhöhte Personalkosten angesetzt werden?,"Die Position Personalkosten bzw. Personalausgaben kann eigenverantwortlich bis zu 20% der bewilligten Höhe überschritten werden, sofern in anderen Position der entsprechende Betrag eingespart wird …"
Wann sind Aufstockungen möglich?,"Aufstockungen der Zuwendung sind grundsätzlich nur für zusätzliche Arbeiten, die für das Projekt notwendig geworden sind, möglich. Bei Bedarf sprechen Sie bitte Ihren zuständigen fachlichen Beratenden …"
Wann sind die Jahressonderzahlungen anteilig abrechenbar?,Die Jahressonderzahlung kann nur entsprechend dem Verursachungsanteil im Bewilligungszeitraum des geförderten Vorhabens (x/12; sog. Zwölftel-Regelung) und sofern die Auszahlung spätestens bis zur …
Wann soll der Finanzierungsplan eingereicht werden?,Eine erste Abschätzung der für ein Vorhaben anfallenden Kosten bzw. Ausgaben ist dem Projektkoordinator für die Einreichung der Skizze zur Verfügung zu stellen. Die detaillierte Kalkulation der …
"Wann und wie erfahren die Zuwendungsempfänger, dass die Mittelverschiebung genehmigt wurde?",Mittelverschiebungen sind vom Zuwendungsempfänger zu beantragen. Bei einem Mehrbedarf im Kalenderjahr kann das auch über eine Zahlungsanforderung geschehen. Die Änderungen in der jährlichen …
Wann werden Brutto- oder Nettoausgaben im Projekt anerkannt?,"Ob Brutto- und Nettoausgaben beantragt bzw. abgerechnet werden können, hängt davon ab, ob der/die Zuwendungsempfänger:in vorsteuerabzugsberechtigt ist oder nicht. Wenn eine Vorsteuerabzugsberechtigung …"
Warum ist die Erstellung einer Zahlungsanforderung trotz eines existierenden profi-Online Zugangs nicht möglich?,Beim Abrufverfahren ist ein profi-Online Zugriff allein nicht ausreichend. Zusätzlich dazu muss der Nutzer/ die Nutzerin die Rolle „profi-Online-Benutzerverwaltung“ beantragen und dafür freigeschaltet …
Warum wird der Verwendungsnachweis von einer dritten Firma geprüft?,"Die FILINA Innovation + Technik GmbH ist eine Tochterfirma der VDI/VDE Innovation + Technik GmbH. Um die Prüfung von Verwendungsnachweisen schnellstmöglich durchführen zu können, unterstützt die …"
Warum wurden die Mittel für das Projekt nicht entsprechend des geplanten Mittelbedarfs festgelegt?,"Im Erstbescheid ist eine jährliche Bereitstellung der Mittel entsprechend des Antrags aus haushaltstechnischen Gründen häufig nicht möglich. In jedem Jahr wird allerdings mehrmals geprüft, ob die …"
Was bedeutet pauschalierte Abrechnung?,"Die pauschalierte Abrechnung ist eine Abrechnung auf Kostenbasis. Voraussetzung ist, dass der Zuwendungsempfänger auf Kostenbasis gefördert werden kann. Sie stellt eine Möglichkeit dar, die Abrechnung …"
Was ist der Unterschied zwischen Antragsteller:innen und Vertragspartner:innen?,Der Antragstellenden werden nach erfolgreicher Prüfung des Antrages zu Zuwendungsempfänge:innen. Die Vertragspartner:innen sind beispielsweise ein(e) Unterauftragnehmer:in des Antragstellers (der …
Was ist die AGVO?,"Die Allgemeine Gruppenfreistellungsverordnung (AGVO) regelt, dass bestimmte staatliche Fördermaßnahmen von den Mitgliedstaaten ohne weitere Genehmigung durch die Europäische Kommission umgesetzt …"
Was ist die maximale Zuwendung für KMU Innovativ?,"Sollte die Höhe der Zuwendung beschränkt sein, ist dies der Förderbekanntmachung zu entnehmen. Ist hier keine Einschränkung zu finden, werden die Anträge rein nach Ihrer Qualität bewertet."
Was ist ein Sachbericht?,"Ein Sachbericht ist ein Kurzbericht (ca. zwei Seiten DIN A4), welcher in allgemeinverständlicher Form das Ziel, den Inhalt, das Ergebnis und die Aussagen zum konkreten Nutzen bzw …"
Was ist ein Verwendungsnachweis?,Gemäß den Nebenbestimmungen ist die Verwendung der Zuwendung i.d.R. innerhalb von sechs Monaten nach dem Ende des Bewilligungszeitraums nachzuweisen. Dafür ist ein Verwendungsnachweis (VN) …
Was ist eine N.N. Stelle?,"Werden Anträge auf Ausgabenbasis gestellt, ist im Antrag anzugeben, ob das beantragte Personal namentlich bekannt ist oder namentlich noch nicht bekannt ist. Um namentlich nicht bekanntes Personal (N …"
"Was kann in der Zahlungsanforderung zum 3. Quartal abgerechnet werden, wenn nicht alle Daten für den Abrechnungszeitraum verfügbar sind?","Sie können nur das abrechnen, was Ihnen als Abrechnungen bzw. an Rechnungsunterlagen zur Verfügung stehen. Dabei ist der 15.10. das Einreichungsdatum. Es darf also nur das abgerechnet werden, was auch …"
Was passiert bei fehlerhafter Abrechnung seitens des Ast?,Im Falle einer fehlerhaften Abrechnung (z.B. Abrechnung in einer falschen Position) kontaktieren Sie bitte umgehend Ihre/n zuständige/n Betreuer/in.
Was passiert bei überhöhter Mittelanforderung?,"Eine Mittelanforderung, die den tatsächlichen Mittelbedarf in dem entsprechenden Jahr übersteigt, führt zu einem positiven Kassenbestand im Zwischennachweis. In einem solchen Fall ist zu prüfen, ob …"
Was passiert mit bewilligten und angeschafften Gegenständen nach dem Projektende?,"Nach Ablauf des Bewilligungszeitraums kann über die Gegenstände, die mit Hilfe der Zuwendung erworben oder hergestellt werden wie folgt verfahren werden: deren Wert 800 € im Einzelfall (Pos. 0831 des …"
"Was passiert mit den Fördermitteln, die im aktuellen Kalenderjahr nicht abgerufen worden sind bzw. wenn ein Mehrbedarf besteht?","In der Regel besteht die Möglichkeit, nicht benötigte Mittel in die Folgejahre zu verschieben. Dafür ist eine zeitnahe Mitteilung an den Projektträger erforderlich. Ein Mehr- oder Minderbedarf an …"
"Was passiert mit Mitteln, die nicht abgerufen oder ausgegeben werden?","Sie können über Easy-Online in den Haushaltsdaten einen Antrag auf Mittelumwidmung stellen. Der ist soll ausreichend zu begründen werden. Wird dem Antrag zugestimmt, erhalten Sie einen …"
